created_at,entry_id,field1,field2,field3,field4,latitude,longitude,elevation,status
2024-06-30T04:39:48+00:00,1,45,75.74,63.80,275,,,,
2024-06-30T04:40:53+00:00,2,43,75.74,63.60,270,,,,
2024-06-30T05:42:06+00:00,3,43,76.10,63.40,5225,,,,
2024-06-30T06:42:12+00:00,4,46,73.40,69.90,5001,,,,
2024-06-30T07:42:18+00:00,5,46,73.76,70.20,5056,,,,
2024-06-30T08:42:24+00:00,6,39,72.68,74.30,5111,,,,
2024-06-30T09:42:30+00:00,7,45,73.04,71.50,5225,,,,
2024-06-30T10:42:36+00:00,8,48,73.22,73.80,3538,,,,
2024-06-30T11:42:42+00:00,9,48,73.04,70.80,2663,,,,
2024-06-30T12:42:48+00:00,10,48,72.68,68.60,1766,,,,
2024-06-30T13:42:54+00:00,11,47,72.86,71.30,1309,,,,
2024-06-30T14:43:00+00:00,12,48,72.50,74.70,1507,,,,
2024-06-30T15:43:06+00:00,13,47,72.50,78.10,48,,,,
2024-06-30T16:43:13+00:00,14,44,73.94,68.80,58,,,,
2024-06-30T17:43:19+00:00,15,49,72.50,72.30,51,,,,
2024-06-30T18:43:25+00:00,16,49,72.14,69.00,51,,,,
2024-06-30T19:43:31+00:00,17,49,71.60,68.10,50,,,,
2024-06-30T20:43:37+00:00,18,51,72.32,66.90,51,,,,
2024-06-30T21:43:43+00:00,19,51,72.32,68.30,51,,,,
2024-06-30T22:43:49+00:00,20,50,72.32,71.60,51,,,,
2024-06-30T23:43:54+00:00,21,50,72.14,72.50,51,,,,
2024-07-01T00:44:00+00:00,22,40,70.88,66.00,52,,,,
2024-07-01T01:44:06+00:00,23,52,71.60,71.30,51,,,,
2024-07-01T02:44:12+00:00,24,49,71.42,68.80,52,,,,
2024-07-01T03:44:18+00:00,25,51,71.60,69.70,50,,,,
2024-07-01T04:44:24+00:00,26,50,73.58,65.20,50,,,,
2024-07-01T05:44:31+00:00,27,51,74.48,69.90,5225,,,,
2024-07-01T06:44:37+00:00,28,48,72.86,71.10,5196,,,,
2024-07-01T07:44:43+00:00,29,50,73.04,73.70,5342,,,,
2024-07-01T08:44:49+00:00,30,52,72.32,70.60,5139,,,,
2024-07-01T09:44:55+00:00,31,51,72.50,72.80,5225,,,,
2024-07-01T10:45:01+00:00,32,53,72.68,74.70,2826,,,,
2024-07-01T11:45:07+00:00,33,50,72.86,73.50,1009,,,,
2024-07-01T12:45:13+00:00,34,52,73.04,72.10,791,,,,
2024-07-01T13:45:19+00:00,35,51,72.68,73.80,346,,,,
2024-07-01T14:45:25+00:00,36,53,73.22,70.90,346,,,,
2024-07-01T15:45:31+00:00,37,52,73.40,69.10,360,,,,
2024-07-01T16:45:37+00:00,38,52,73.22,69.70,48,,,,
2024-07-01T17:45:43+00:00,39,52,73.58,64.40,48,,,,
2024-07-01T18:45:49+00:00,40,54,72.68,61.00,48,,,,
2024-07-01T19:45:55+00:00,41,53,72.68,59.80,48,,,,
2024-07-01T20:46:01+00:00,42,53,72.50,62.40,48,,,,
2024-07-01T21:46:07+00:00,43,52,72.86,59.50,48,,,,
2024-07-01T22:46:13+00:00,44,52,73.40,57.90,48,,,,
2024-07-01T23:46:19+00:00,45,52,73.22,59.40,50,,,,
2024-07-02T01:52:00+00:00,46,-6,73.04,51.60,416,,,,
2024-07-02T02:52:06+00:00,47,-9,71.42,62.70,416,,,,
2024-07-02T13:48:11+00:00,48,30,73.40,70.80,249,,,,
2024-07-02T14:48:17+00:00,49,32,73.76,71.60,241,,,,
2024-07-02T15:48:24+00:00,50,31,74.48,70.30,244,,,,
2024-07-02T16:48:30+00:00,51,32,74.12,70.10,246,,,,
2024-07-02T17:48:36+00:00,52,34,73.22,65.30,225,,,,
2024-07-02T18:48:42+00:00,53,31,72.68,61.30,214,,,,
2024-07-02T19:48:48+00:00,54,33,72.68,60.70,216,,,,
2024-07-02T20:48:54+00:00,55,33,72.86,57.60,225,,,,
2024-07-02T21:49:00+00:00,56,32,72.86,60.50,244,,,,
2024-07-02T22:49:06+00:00,57,34,72.68,58.30,246,,,,
2024-07-02T23:49:12+00:00,58,33,72.68,57.10,263,,,,
